Unnamed: 0,text,true_label,pred_label,num_words
0,"Those were the best days. When one of them managed to kill a ground squirrel or a rabbit, a guinea hen or a grouse, the boys' aimless play halted and there was suddenly a lot of work to do.",1,0,39
1,"His impulses were still near the surface, and he sprang up, re-lit the lantern, and sat down at the table. He rummaged in the drawer for a sheet of paper, found one, and began to write.",2,2,36
2,Mrs. Murry stroked Meg’s shaggy head. “Do you know why?”,0,0,10
3,"""And we're very hungry right now. In fact, I can hardly wait,"" said the sixth.",0,0,15
4,"But if ’t be he I mean, he’s very wild, Addicted so and so.” And there put on him What forgeries you please—marry, none so rank As may dishonor him, take heed of that, But, sir, such wanton, wild, and usual slips As are companions noted and most known To youth and liberty.",2,2,53
5,"But society, amused for a while at playing Cinderella, soon wearied of the hearthside role, and welcomed the Fairy Godmother in the shape of any magician powerful enough to turn the shrunken pumpkin back again into the golden coach. The mere fact of growing richer at a time when most people’s investments are shrinking, is calculated to attract envious attention; and according to Wall Street rumours, Welly Bry and Rosedale had found the secret of performing this miracle.",1,1,78
6,"He embraced her, solemnly commended her to Heaven, and humbly thanked Heaven for having bestowed her on him. By-and-bye, they went into the house.",2,1,24
7,"This first theft marked Buck as fit to survive in the hostile Northland environment. It marked his adaptability, his capacity to adjust himself to changing conditions, the lack of which would have meant swift and terrible death. It marked, further, the decay or going to pieces of his moral nature, a vain thing and a handicap in the ruthless struggle for existence. It was all well enough in the Southland, under the law of love and fellowship, to respect private property and personal feelings; but in the Northland, under the law of club and fang, whoso took such things into account was a fool, and in so far as he observed them he would fail to prosper.",2,1,117
8,"So now, as an infallible way of making little ease great ease, I began to contract a quantity of debt. I could hardly begin but Herbert must begin too, so he soon followed. At Startop’s suggestion, we put ourselves down for election into a club called The Finches of the Grove: the object of which institution I have never divined, if it were not that the members should dine expensively once a fortnight, to quarrel among themselves as much as possible after dinner, and to cause six waiters to get drunk on the stairs. I know that these gratifying social ends were so invariably accomplished, that Herbert and I understood nothing else to be referred to in the first standing toast of the society: which ran “Gentlemen, may the present promotion of good feeling ever reign predominant among the Finches of the Grove.”",2,2,143
9,“Down in the Green Meadows to find the Best Thing in the World!” shouted Striped Chipmunk and Peter Rabbit and Bobby Coon. Then they all tried to run faster.,0,0,29
10,"Do you hear, do you hear? ‘To be sure,’ says he, ‘Semyon Zaharovitch, remembering your past services,’ says he, ‘and in spite of your propensity to that foolish weakness, since you promise now and since moreover we’ve got on badly without you,’ (do you hear, do you hear;) ‘and so,’ says he, ‘I rely now on your word as a gentleman.’ And all that, let me tell you, she has simply made up for herself, and not simply out of wantonness, for the sake of bragging; no, she believes it all herself, she amuses herself with her own fancies, upon my word she does! And I don’t blame her for it, no, I don’t blame her",2,2,116
11,"“The way is very easy. Instead of returning home, come with us.”",0,2,12
12,"Late in the day, the villagers arrived at the rebel camp. The soldiers ordered them to separate into two groups—men in one group, women and children and the elderly in the other. Teenage boys, it seemed, were considered men, for boys who looked to be only a few years older than Salva were joining the men's group.",1,1,57
13,"Well, should we set aside the more disputable point whether for various reasons it was possible to anchor the fleet, then plausibly enough the Benthamites of war may urge the above",2,2,31
14,"Montag moved back to his own house, left the window wide, checked Mildred, tucked the covers about her carefully, and then lay down with the moonlight on his cheek-bones and on the frowning ridges in his brow, with the moonlight distilled in each eye to form a silver cataract there.",2,2,50
15,"When the Doctor stopped speaking and sat down, all the monkeys clapped their hands a long time and said to one another, “Let it be remembered always among our people that he sat and ate with us, here, under the trees. For surely he is the Greatest of Men!”",1,1,49
16,"""Please don't kill it!"" she sobbed. ""It's unfair.""",0,0,8
17,"The freakish wind suddenly shifted again and black billows of smoke swirled back. The little knots of people in front of their homes screamed and rushed in and out again, holding all their arms could carry.",2,1,36
18,"“'Well,' said he, 'the real fact is, master was put out because Mr. Barker refused to come on Sundays, and he has been trying other cabs, but there's something wrong with them all; some drive too fast, and some too slow, and the mistress says there is not one of them so nice and clean as yours, and nothing will suit her but Mr. Barker's cab again.'”",1,1,67
19,"“The wild beasts that I have been accustomed to,” said Lord Pabham, “have come with proper credentials from well-known dealers, or have been bred in my own menagerie.  I’ve never before been confronted with an animal that walks unconcernedly out of an azalea bush, leaving a charming and popular hostess unaccounted for.  As far as one can judge from outward characteristics,” he continued, “it has the appearance of a well-grown female of the North American timber-wolf, a variety of the common species canis lupus.”",1,1,84
20,"Ickle Me, Pickle Me, Tickle Me too went for a ride in a flying shoe. ""Hooray!"" ""What fun!"" ""It's time we flew!"" said Ickle Me, Pickle Me, Tickle Me too.",0,0,30
21,"Now I must say a little about Reuben Smith, who was left in charge of the stables when York went to London. No one more thoroughly understood his business than he did, and when he was all right there could not be a more faithful or valuable man. He was gentle and very clever in his management of horses, and could doctor them almost as well as a farrier, for he had lived two years with a veterinary surgeon. He was a first-rate driver; he could take a four-in-hand or a tandem as easily as a pair. He was a handsome man, a good scholar, and had very pleasant manners. I believe everybody liked him; certainly the horses did. The only wonder was that he should be in an under situation and not in the place of a head coachman like York; but he had one great fault and that was the love of drink. He was not like some men, always at it; he used to keep steady for weeks or months together, and then he would break out and have a “bout” of it, as York called it, and be a disgrace to himself, a terror to his wife, and a nuisance to all that had to do with him. He was, however, so useful that two or three times York had hushed the matter up and kept it from the earl's knowledge; but one night, when Reuben had to drive a party home from a ball he was so drunk that he could not hold the reins, and a gentleman of the party had to mount the box and drive the ladies home. Of course, this could not be hidden, and Reuben was at once dismissed; his poor wife and little children had to turn out of the pretty cottage by the park gate and go where they could. Old Max told me all this, for it happened a good while ago; but shortly before Ginger and I came Smith had been taken back again. York had interceded for him with the earl, who is very kind-hearted, and the man had promised faithfully that he would never taste another drop as long as he lived there. He had kept his promise so well that York thought he might be safely trusted to fill his place while he was away, and he was so clever and honest that no one else seemed so well fitted for it.",1,1,409
22,"""ONE GENUINE TURNPIKE TOLLBOOTH,"" it stated—and then it went on: ""EASILY ASSEMBLED AT HOME, AND FOR USE BY THOSE WHO HAVE NEVER TRAVELED IN LANDS BEYOND."" ""Beyond what?"" thought Milo as he continued to read.",0,0,35
23,"The Guardian of the Gates led them through the streets until they came to a big building, exactly in the middle of the City, which was the Palace of Oz, the Great Wizard. There was a soldier before the door, dressed in a green uniform and wearing a long green beard.",1,1,51
24,"Jerry started in his saddle. “That’s a Blazing strange answer, too,”  said he, at his hoarsest.",2,1,16
25,"He didn't know. He thought of his life--- going to school and coming home. Even though his tie was loose, dangling on his shirt, he yanked it off. He looked up at the advertising placards above the windows, wanting to turn his thoughts away from the confrontation.",2,2,47
26,"They went back to the woods and looked on the dark paths. ""Here is your button,"" said Frog. ""That is not my button,"" cried Toad. ""That button is small. My button was big."" Toad put the small button in his pocket.",0,0,41
27,"“When you combine the ideas of whistles at night, the presence of a band of gipsies who are on intimate terms with this old doctor, the fact that we have every reason to believe that the doctor has an interest in preventing his stepdaughter’s marriage, the dying allusion to a band, and, finally, the fact that Miss Helen Stoner heard a metallic clang, which might have been caused by one of those metal bars that secured the shutters falling back into its place, I think that there is good ground to think that the mystery may be cleared along those lines.”",2,2,101
28,"The mirror over my bureau seemed slightly warped and much too silver. The face in it looked like the reflection in a ball of dentist’s mercury. I thought of crawling in between the bed-sheets and trying to sleep, but that appealed to me about as much as stuffing a dirty, scrawled-over letter into a fresh, clean envelope. I decided to take a hot bath",2,2,64
29,"“It’s only a bird, silly,” said Edmund.",0,0,7
30,"“Good,” said Peter Rabbit, “I'll come along too.”",0,0,8
31,"""Why, here's my button!"" he cried. And he tried to pick it up. But, like all the other buttons on the mattress, it was tied down tight.",0,0,27
